"COMMISSIONE","NOMI","ATTO","DATA"
"10 (Industria) ; 13 (Ambiente)","Legambiente - Transport & Environment","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)",2020-09-16
"10 (Industria) ; 13 (Ambiente)","Legambiente","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)",2020-09-16
"10 (Industria) ; 13 (Ambiente)","Greenpeace - WWF - Legambiente - Kyoto Club - Transport & Environment","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)",2020-09-16
"10 (Industria) ; 13 (Ambiente)","MOTUS E","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-16
"10 (Industria) ; 13 (Ambiente)","ENEL","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-16
"10 (Industria) ; 13 (Ambiente)","AGCM","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)",2020-09-16
"10 (Industria) ; 13 (Ambiente)","ENEL","AG 294 (Norme comuni per il mercato interno dell'energia elettrica)",2020-09-16
"10 (Industria) ; 13 (Ambiente)","AIEL","AG 292 (Promozione dell'uso dell'energia da fonti rinnovabili)",2020-09-16
"10 (Industria) ; 13 (Ambiente)","Confindustria Cisambiente","AG 291 (Riduzione dell'incidenza di determinati prodotti di plastica sull'ambiente)",2020-09-14
"10 (Industria) ; 13 (Ambiente)","PlasticsEurope Italia - Federchimica","AG 291 (Riduzione dell'incidenza di determinati prodotti di plastica sull'ambiente)",2020-09-14
"10 (Industria) ; 13 (Ambiente)","Assobioplastiche","AG 291 (Riduzione dell'incidenza di determinati prodotti di plastica sull'ambiente)",2020-09-14
